Year,Average_Payroll,CPI,Revenue_Index,Adj_Payroll_Avg
2011,60459518.53,224.939,148.8721805,161738.1226
2012,64068252.90,229.594,138.3458647,174126.9676
2013,63268715.10,232.957,171.4285714,156456.4108
2014,64718053.83,236.736,180.075188,155269.4738
2015,71836744.63,237.017,194.7368421,166383.5677
2016,92037347.33,240.007,220.6766917,199784.2533
2017,102923169.20,245.12,277.0676692,197099.9609
2018,106654226.27,251.107,301.1278195,193132.0201
2019,114552535.13,255.657,329.3233083,195822.891
2020,119155446.23,258.811,297.7443609,214094.5081
2021,125823270.80,270.97,240.9774436,245773.8043
