State,Abbr,payroll_avg
Alabama,AL,0
Alaska,AK,0
Arizona,AZ,172338400
Arkansas,AR,0
California,CA,182495155.5
Colorado,CO,172032689
Connecticut,CT,0
Delaware,DE,0
Florida,FL,146977585
Georgia,GA,157980277
Hawaii,HI,0
Idaho,ID,0
Illinois,IL,153420038
Indiana,IN,95848833
Iowa,IA,0
Kansas,KS,0
Kentucky,KY,0
Louisiana,LA,153621754
Maine,ME,0
Maryland,MD,0
Massachusetts,MA,175627204
Michigan,MI,123145093
Minnesota,MN,178740691
Mississippi,MS,0
Missouri,MO,0
Montana,MT,0
Nebraska,NE,0
Nevada,NV,0
New Hampshire,NH,0
New Jersey,NJ,0
New Mexico,NM,0
New York,NY,168408001.5
North Carolina,NC,141274738
North Dakota,ND,0
Ohio,OH,0
Oklahoma,OK,150937642
Oregon,OR,160879449
Pennsylvania,PA,166110803
Rhode Island,RI,0
South Carolina,SC,0
South Dakota,SD,0
Tennessee,TN,122949665
Texas,TX,136294123
Utah,UT,149326867
Vermont,VT,0
Virginia,VA,0
Washington,WA,187738134
West Virginia,WV,
Wisconsin,WI,191172887
Wyoming,WY,0
